Date,Location,nursultan,almaty,Latitude,Longitude,Number of Protesters,Number of Arrests,Type,protest_type,Issue 1,issue1,Issue 2,issue2,Issue 3,issue3,Groups Linked,Groups Linked 2,groups_linked,Target 1,Target 2,Target Type,target_type,Response 1,response1,Response 2,response2,Source,Source Type,Description
25 June 2021,Taytobe,0,0,50.981867,71.297779,36,0,Rally,Rally,Land,Property & Land,,,,,,,0,Local Government,,Local Government,Local Government,Nothing,Neutral,,,https://www.ktk.kz/ru/news/video/2021/06/25/183846/,Online Search,Residents of Taytobe near Nur-Sultan (Astana) demanded that former cattle grazing land that was given by the government to private businessmen be returned to them.
25 June 2021,Besagash,0,0,43.302422,77.036197,35,0,Rally,Rally,Development,Property & Land,Property,Property & Land,,,,,0,Construction Company,,Business,Local Non-Gov Actor,Meeting,Constructive,,,https://www.ktk.kz/ru/news/video/2021/06/25/183847/,Online Search,"Residents of Besagash protested against the construction of large apartment complexes in the village, arguing that the properties are located too close to other houses, violate regulations, and that the construction is disturbing residents."
24 June 2021,Akshukur,0,0,44.0641655739107,51.0571562850597,50,0,Rally,Rally,Covid-19,Covid-19,Labor,Livelihood,Extractive Industries,Environment & Resource Extraction,,,0,Total,Local government,Foreign Business,Foreign Actor,Meeting,Constructive,,,https://youtu.be/KWh5d8ryJvc,ACLED,"On June 24 2021, workers of the Total oil and gas drilling company protested on the premises of the Dunga oil field camp near the town of Akshukur against the 5-day quarantine requirement due to COVID-19."
24 June 2021,Satpaev,0,0,47.9019194069619,67.5465198305299,15,0,Rally,Rally,Utilities,Government Services,Corruption,Finance,,,,,0,Maintenance Company,Local government,Organization,Local Non-Gov Actor,Unknown,Neutral,,,https://youtu.be/xHFdKtXnX30,ACLED,Residents of the local neighborhood in the town of Satpaev gathered outside their apartment building in protest against their maintenance company's poor job performance and failure to disclose financial records.
24 June 2021,Almaty,0,1,43.241242,76.859949,25,0,Strike,Disruptive,Income,Livelihood,Labor,Livelihood,,,,,0,School Construction Company,,Business,Local Non-Gov Actor,Meeting,Constructive,,,https://www.ktk.kz/ru/news/video/2021/06/24/183734/,Online Search,Construction workers refused to work until they received wages that they say they had been waiting on for two months.
24 June 2021,Almaty,0,1,43.2554809407524,76.9387213768208,30,0,Rally,Rally,Justice,Justice,Repression,Justice,Human Rights,Human Rights,,,0,Police,,Law Enforcement,Justice System,Monitoring,Cautious,Meeting,Constructive,"https://rus.azattyq.org/a/31323658.html
https://masa.media/ru/site/osvobodit-aktivista-baybolata-kunbolatuly-trebuyut-ego-storonniki-v-almaty",Online Search,About 30 people gathered in front of the Medeu district police office in Almaty demanding the immediate release of Baibolat Kunbolatuly. The court arrested him for 15 days after protesting in front of the Chinese Consulate.
24 June 2021,Uralsk,0,0,51.2287854857281,51.3826889130002,3,0,Hunger Strike,Non-Violent,Political Prisoners,Justice,Repression,Justice,Human Rights,Human Rights,Democratic Choice of Kazakhstan,Street (Koshe) Party,1,Esil District Court,Prosecutor General's Office,Judicial System,Justice System,Nothing,Neutral,,,https://rus.azattyq.org/a/31323448.html,Online Search,"Three Uralsk activists, Dastan Bazhenov, Maria Eskendirova, and Amangeldi Orazbaev, launched a hunger strike supporting political prisoners of Kazakhstan. The activists demanded an overrule of the Esil district court's decision in Nur-Sultan (Astana) which recognized Democratic Choice of Kazakhstan and Koshe (Street) Party as extremist movements."
24 June 2021,Arys,0,0,42.4339474044529,68.8131042111511,10,0,Rally,Rally,Property,Property & Land,Welfare,Government Services,Relief,Government Services,,,0,City administration,,Local Government,Local Government,Meeting,Constructive,Promise,Constructive,https://rus.azattyq.org/a/31324587.html,Online Search,"More than 10 residents of Arys gathered in the local government's office demanding their compensations after the explosion. The government pledged to pay compensation; however, they have not received it."
23 June 2021,Baluan,0,0,54.1045817362108,67.1535394236512,20,0,Rally,Rally,Land,Property & Land,Corruption,Finance,,,,,0,Kasym-Jomart Tokayev,Local government,Local Government,Local Government,Monitoring,Cautious,Dispersal,Cautious,https://youtu.be/B6vrhqYdym8,ACLED,"Residents of Baluan protested near the Petropavl-Nur-Sultan (Astana) motor road against land auction, which saw their lands leased to a third party, leaving protesters without access to it."
23 June 2021,Kyzylorda,0,0,44.8354287006446,65.5047724134095,20,0,Rally,Rally,Utilities,Government Services,Environment,Environment & Resource Extraction,,,,,0,Local Government,,Local Government,Local Government,Nothing,Neutral,,,https://youtu.be/GSSdAuhEdyY,ACLED,"Livestock farmers gathered outside the regional state administration's office in Kyzylorda, calling for the authorities to provide aid to the local cattle farms following a deadly drought."
23 June 2021,Almaty,0,1,43.253700858904,76.9156088481372,10,0,Rally,Rally,Justice,Justice,,,,,,,0,Almaty District Court,Law Enforcement,Judicial System,Justice System,Promise,Constructive,,,https://youtu.be/nduuZjVCbkw,ACLED,"About 40 ethnic Kazakh citizens of China protested outside the district court in Almaty, demanding that the authorities investigate a female travel agent whom protesters accused of fraud."
23 June 2021,Nur-Sultan (Astana),1,0,51.158617,71.472476,7,0,Rally,Rally,Welfare,Government Services,,,,,,,0,National Government,,National Government,National Government,Monitoring,Cautious,,,https://www.youtube.com/watch?v=GSx1iDka0gI,ACLED,Persons with disabilities protested in the business district in Nur-Sultan (Astana) demanding pension and disability pay raise up to 400 Euros.
23 June 2021,Aral,0,0,46.843078,61.667685,30,0,Rally,Rally,Environment,Environment & Resource Extraction,Development,Property & Land,Land,Property & Land,,,0,Local Government,,Local Government,Local Government,Meeting,Constructive,,,https://inbusiness.kz/ru/last/aralskie-obshestvenniki-vystupili-protiv-stroitelstva-vrednogo-proizvodstva,Online Search,Activists protested against the construction of a sodium carbonate and glass plant where the Aral Sea used to be.
22 June 2021,Almaty,0,1,43.239657,76.961461,6,0,Rally,Rally,China,China,Human Rights,Human Rights,,,,,0,Chinese Government,National Government,Foreign Government/International Organization,Foreign Actor,Nothing,Neutral,,,https://www.youtube.com/watch?v=IPL_us8-dLk,ACLED,Relatives of Xinjiang-born ethnic Kazakhs protested outside the Chinese Consulate in Almaty demanding the release of their family members from the internment camps in China.
22 June 2021,Nur-Sultan (Astana),1,0,51.1346851298847,71.4457012659757,30,0,Rally,Rally,Justice,Justice,,,,,Za zakon - initiative group ,,1,Maulen Ashimbaev,Nurlan Nigmatulin,National Government,National Government,Monitoring,Cautious,,,https://rus.azattyq.org/a/31320052.html,Online Search,"About 30 members of initiative group Za Zakon (Rule of law) gathered in front of the Supreme Court in Nur-Sultan (Astana), demanding to create a commission to review courts' unfair decisions."
22 June 2021,Semey,0,0,50.4047003569306,80.2143159847108,Unknown,0,Strike,Disruptive,Labor,Livelihood,Income,Livelihood,,,,,0,LLP Semey Bus,Semey City Administration,Local Government,Local Government,Nothing,Neutral,,,"https://rus.azattyq.org/a/31320070.html
https://regnum.ru/news/society/3292843.html",Online Search,"Bus drivers of LLP Semey Bus organized a strike and did not show up to work. According to the Semey Bus spokesperson, the drivers refused to work after the LLP lost a trial. The court ruled to seize 170 buses taken on loan from the JSC Industrial Development Fund. The bus company also owes pension payments to the bus drivers."
21 June 2021,Taraz,0,0,42.8965797757942,71.378034371018,11,0,Rally,Rally,Labor,Livelihood,Income,Livelihood,Extractive Industries,Environment & Resource Extraction,,,0,City Mayor's Office,,Local Government,Local Government,Unknown,Neutral,,,https://youtu.be/3yjdWkLTWb0,ACLED,Retired workers of the Zhanatas and Karatau mining projects protested outside the local administration in Taraz demanding that the authorities intervene in their labor dispute with the company regarding disability pay and medical care.
21 June 2021,Almaty,0,1,43.2438669367755,76.8965103862716,30,0,Rally,Rally,Justice,Justice,,,,,,,0,Almaty City Court,Law Enforcement,Judicial System,Justice System,Unknown,Neutral,,,https://youtu.be/EMlcEINDwi8,ACLED,Victims of a fraudulent scheme gathered in Almaty to demand a transparent court trial to resolve the matter.
21 June 2021,Ust-Kamenogorsk,0,0,49.973774,82.603602,5,0,Confrontation,Violent,Labor,Livelihood,,,,,,,0,Public Bus Company,,Local Government,Local Government,Nothing,Neutral,,,https://www.youtube.com/watch?v=2cTF-ifhB4E,ACLED,"Around June 21 2021, drivers and personnel of the public bus company in Oskemen district of Ust-Kamenogorsk protested at the terminal against the installation of automatic fare systems on local buses."
21 June 2021,Almaty,0,1,43.244663,76.959146,10,0,Rally,Rally,Development,Property & Land,Environment,Environment & Resource Extraction,,,,,0,Local Government,,Local Government,Local Government,Unknown,Neutral,,,https://www.youtube.com/watch?v=Kx1KkI5SSmg,ACLED,Residents of Almaty gathered to demand the preservation of Kok-Tobe Park.
21 June 2021,Almaty,0,1,43.212832,76.939638,14,0,Rally,Rally,Development,Property & Land,Environment,Environment & Resource Extraction,,,,,0,Local Government,,Local Government,Local Government,Unknown,Neutral,,,https://www.youtube.com/watch?v=_5HQnYbX1SQ,ACLED,"Residents of Almaty protested near their homes against private housing development in the area, calling for the country's president to intervene to preserve green spaces in the city."
21 June 2021,Almaty,0,1,43.2717949860697,76.8394808563934,7,0,Hunger Strike,Non-Violent,Political Prisoners,Justice,Repression,Justice,Human Rights,Human Rights,Democratic Choice of Kazakhstan,Street (Koshe)Party,1,Esil District Court,Prosecutor General's Office,Judicial System,Justice System,Nothing,Neutral,,,https://rus.azattyq.org/a/31318512.html,Online Search,Seven activists in Almaty launched a hunger strike supporting Kazakh political prisoners linked to the Democratic Choice of Kazakhstan and Koshe (Street) Party.
21 June 2021,Turkestan,0,0,43.330792,68.237996,100,0,Roadblock,Disruptive,Environment,Environment & Resource Extraction,Land,Property & Land,,,,,0,Local Government,,Local Government,Local Government,Promises,,,,https://www.ktk.kz/ru/news/video/2021/06/21/183387/,Online Search,"Residents of villages in the Turkestan region blocked the road to a number of recreational areas, arguing that waste from tourism is polluting the environment."
19 June 2021,Uralsk,0,0,51.220409,51.363626,7,0,Rally,Rally,Human Rights,Human Rights,,,,,,,0,President of Kazakhstan,,National Government,National Government,Nothing,Neutral,,,https://www.youtube.com/watch?v=CDhpNjIU9Dw,ACLED,Activists protested near the Monument to Aliya Moldagulova in Uralsk and demanded an end to state persecution.
18 June 2021,Almaty,0,1,43.171468,76.871889,20,0,Rally,Rally,Development,Property & Land,,,,,,,0,Local Government,,Local Government,Local Government,Nothing,Neutral,,,https://www.youtube.com/watch?v=3frvbEI1tfo,ACLED,Residents of Khan-Tengri housing community in Almaty protested against the construction of a sports club in their backyard.
18 June 2021,Beskaragay,0,0,50.886001,79.480996,12,0,Rally,Rally,Justice,Justice,Corruption,Finance,,,,,0,Local Government,,Local Government,Local Government,Nothing,Neutral,,,https://www.youtube.com/watch?v=7mm_wbif3mY,ACLED,Family members and supporters of 20-year-old Ravil Volkov protested outside the district court in the town of Beskaragay against corruption in the judicial system.
18 June 2021,Shymkent,0,0,42.392498,69.512113,20,0,Rally,Rally,Utilities,Government Services,Environment,Environment & Resource Extraction,Health,,,,0,Local Government,,Local Government,Local Government,Unknown,Neutral,,,https://www.azattyq.org/a/31314221.html,ACLED,About 20 residents of Yntymak-2 neighborhood in Shymkent protested near their homes against municipal sewage waste water in the area.
18 June 2021,Ekiasha,0,0,45.3871429648024,80.1336941485575,15,0,Rally,Rally,Utilities,Government Services,Environment,Environment & Resource Extraction,,,,,0,LLP Baskan Power,,Business,Local Non-Gov Actor,Unknown,Neutral,,,https://youtu.be/2SpWMGoB0X8,ACLED,Residents of Ekiasha protested at the nearby hydro power project site against construction of the water canal on the local river which protesters complained would leave villagers without access to clean water supplies.
18 June 2021,Zhympity,0,0,50.259069,52.603079,35,0,Roadblock,Disruptive,Cultural,Other,,,,,,,0,Imam Bakytzhan Sabraliev,,Individual,Local Non-Gov Actor,Nothing,Neutral,,,https://www.youtube.com/watch?v=zLlhbJfWnxM,ACLED,Residents of Zhympity blocked the Uralsk-Aktobe motor road demanding removal of the region's Imam Bakytzhan Sabraliyev due to his alleged unfitness for the job.
18 June 2021,Nur-Sultan (Astana),1,0,51.129923,71.441346,4,0,Rally,Rally,Welfare,Government Services,,,,,,,0,National Government,,National Government,National Government,Nothing,Neutral,,,https://www.youtube.com/watch?v=17v_6g5_cLo,ACLED,Persons with disabilities gathered outside the Ministry of Social Protection and Labour in Nur-Sultan (Astana) demanding disability pay raise and social aid assistance.
18 June 2021,Turkestan,0,0,43.338324,68.240964,20,0,Rally,Rally,Environment,Environment & Resource Extraction,Health,,,,,,0,Local Government,,Local Government,Local Government,Meeting,Constructive,Promise,Constructive,https://mail.kz/ru/news/kz-news/zhiteli-turkestanskoi-oblasti-trebuyut-zakryt-musornyi-poligon,Online Search,"Residents of the Turkestan region called for local authorities to remove a landfill near their homes, arguing that it is making them sick."
17 June 2021,Nur-Sultan (Astana),1,0,51.131088,71.546427,30,0,Rally,Rally,Human Rights,Human Rights,Political Prisoners,Justice,Repression,Justice,,,0,European Union,National Government,Foreign Government/International Organization,Foreign Actor,Nothing,Neutral,,,https://www.youtube.com/watch?v=XagSoWJvXqg,ACLED,Activists protested in Nur-Sultan (Astana) against persecution of opposition members in Kazakhstan and demanding that political prisoners be released.
17 June 2021,Turkestan,0,0,43.2775655613487,68.3498840132068,50,0,Roadblock,Disruptive,Land,Property & Land,Welfare,Government Services,,,,,0,City Administration,,Local Government,Local Government,Meeting,Constructive,,,https://rus.azattyq.org/a/31312795.html,Online Search,"About 50 residents of Turkestan blocked the road to the city administration, demanding local authorities certify given lands and begin building infrastructure."
16 June 2021,Nur-Sultan (Astana),1,0,51.161257,71.424635,20,0,Rally,Rally,Welfare,Government Services,Human Rights,Human Rights,,,,,0,United Nations,National government,Foreign Government/International Organization,Foreign Actor,Unknown,Neutral,,,https://rus.azattyq.org/a/31310828.html,ACLED,About 20 persons with disabilities gathered outside the UN main office in Nur-Sultan (Astana) calling for officials to address the rights of citizens with special needs.
16 June 2021,Nur-Sultan (Astana),1,0,51.129949,71.44407,4,0,Rally,Rally,Justice,Justice,Political Prisoners,Justice,,,,,0,Supreme Court,,Judicial System,Justice System,Nothing,Neutral,,,https://rus.azattyq.org/a/31310444.html,ACLED,About 25 citizens from around the country protested outside the Supreme Court in Nur-Sultan (Astana) demanding a meeting regarding alleged injustice in criminal cases involving family members.
16 June 2021,Almaty,0,1,43.242066,76.962438,20,0,Rally,Rally,Human Rights,Human Rights,China,China,,,,,0,Government of China,,Foreign Government/International Organization,Foreign Actor,Nothing,Neutral,,,https://www.youtube.com/watch?v=z36Meol7YJg,ACLED,Relatives of Xinjiang born ethnic Kazakhs protested outside the Chinese Consulate in Almaty demanding the release of their loved ones from internment camps in China.
16 June 2021,Semey,0,0,50.404703,80.214286,50,0,Strike,Disruptive,Labor,Livelihood,Income,Livelihood,,,,,0,Semey Bus LLC,,Business,Local Non-Gov Actor,Meeting,Constructive,,,https://informburo.kz/novosti/v-semee-voditeli-avtobusov-v-ocherednoj-raz-ne-vyshli-na-rabotu-v-znak-protesta   https://www.ktk.kz/ru/news/video/2021/06/16/183036/,Online Search,"Bus drivers in Semey refused to show up to work, demanding better wages as Semey Bus LLC negotiated with representatives."
16 June 2021,Almaty,0,1,43.3032485383999,76.8957265746757,50,0,Roadblock,Disruptive,Utilities,Government Services,,,,,,,0,Local Government,Alpha Management Services ,Local Government,Local Government,Meeting,Constructive,Promise,Constructive,"https://youtu.be/gBSnu8pJsp0
https://www.inalmaty.kz/news/3130630/ziteli-ozeta-v-almaty-perekryli-trassu-posle-otklucenia-goracej-vody",Online Search,"More than 50 residents of the Ozhet complex blocked the highway leading to Taldykorgan for an hour. The residents were outraged by the actions of the utility provider company Alpha Management Services, which turned off their hot water."
16 June 2021,Satpayev,0,0,47.9016892422762,67.5451465408687,10,0,Rally,Rally,Income,Livelihood,,,,,,,0,Tavis - construction company,City Administration,Business,Local Non-Gov Actor,Promise,Constructive,,,https://youtu.be/VvXLyWDKTBQ,Online Search,"About a dozen construction workers of Satpayev organized a rally, demanding their wages. Workers have sued the company eight times in the last four years."
16 June 2021,Atyrau,0,0,47.1069288241875,51.9155890793182,20,0,Rally,Rally,Welfare,Government Services,Food,Other,Utilities,Government Services,,,0,Local Government,,Local Government,Local Government,Meeting,Constructive,Promise,Constructive,"https://youtu.be/DEu-9Bnmqio
https://news.mail.ru/society/46752925/
https://liter.kz/v-atyrau-mnogodetnye-materi-potrebovali-u-akima-snizheniya-czen-na-produkty-i-odezhdu/",Online Search,More than 20 mothers gathered outside the Atyrau regional administration building protesting rising food prices and utility costs. The deputy head of the region’s administration promised to raise this issue at a higher level.
15 June 2021,Aksay,0,0,43.472817,76.963387,4,0,Rally,Rally,Extractive Industries,Environment & Resource Extraction,Land,Property & Land,,,,,0,Local Government,,Local Government,Local Government,Unknown,Neutral,,,https://www.uralskweek.kz/2021/06/15/zhiteli-sela-zhanatalap-trebuyut-otozvat-razresheniya-na-dobychu-gravijnoj-smesi-na-ix-pastbishhax/,ACLED,"Around June 15 2021, residents of Zhanatalap protested near their homes against the local quarry operating on the grazing land which protesters demanded to get closed down."
15 June 2021,Medeu ,0,0,43.232238,77.045731,7,0,Rally,Rally,Repression,Justice,Property,Property & Land,,,,,0,Police,Prosecutor General's Office,Law Enforcement,Justice System,Nothing,Neutral,,,https://mediazona.ca/news/2021/06/18/cattle,Online Search,Residents of Almaty called on the Kazakh government to address frequent issues of cattle theft in the area.
15 June 2021,Nur-Sultan (Astana),1,0,51.1346851298847,71.4457012659757,25,0,Sit-In,Non-Violent,Justice,Justice,,,,,,,0, Supreme Court,Kasym - Jomart Tokayev,Judicial System,Justice System,Nothing,Neutral,,,"https://rus.azattyq.org/a/31310444.html
https://politic.kz/nizy/11204-au-asanov-gde-ty-spriatalsia-pikety-prodolzhaiutsia-pered-zdaniem-verkhovnogo-suda",Online Search,"Activists from different regions of Kazakhstan spent the night in the Supreme Court’s waiting room, demanding to overrule the courts' unfair decisions."
15 June 2021,Nur-Sultan (Astana),1,0,51.1197126685618,71.4369973269092,1,0,Rally,Rally,Justice,Justice,Repression,Justice,Human Rights,Human Rights,,,0,Gizat Nurdauletov - Prosecutor General,,Individual,Local Non-Gov Actor,,,,,https://rus.azattyq.org/a/31308458.html,Online Search,"Activist Sanavar Zakirova protested in front of the Prosecutor General's Office in Nur-Sultan (Astana), demanding his resignation. Zakirova claimed that Prosecutor General Gizat Nurdauletov is not fulfilling his duties."
15 June 2021,Almaty,0,1,43.278949,76.850929,Unknown,0,Confrontation,Violent,Welfare,Government Services,,,,,,,0,Local Government,,Local Government,Local Government,Meeting,Constructive,Dispersal,Cautious,https://youtu.be/YSe9MyqGDBw,Online Search,A group of mothers in Almaty confronted the local government in a meeting to demand greater social welfare assistance for their families. The meeting ended in a fight.
15 June 2021,Ust-Kamenogorsk,0,0,49.992299,82.670861,20,0,Rally,Rally,Utilities,Government Services,,,,,,,0,City Administration,,Local Government,Local Government,Nothing,Neutral,,,https://youtu.be/5jltReUm_UI,Online Search,Dozens of residents of Ust-Kamenogorsk gathered to demand that local authorities build a fully-fledged road.
14 June 2021,Progress,0,0,50.1344865424431,82.4000428041526,12,0,Rally,Rally,Utilities,Government Services,,,,,,,0,Village administration,,Local Government,Local Government,Promise,Constructive,,,https://youtu.be/HIi0k5jSgwA,ACLED,Residents of Progress gathered near their homes in protest against the lack of access to drinking water in the village.
14 June 2021,Nur-Sultan (Astana),1,0,51.125548,71.441646,10,0,Rally,Rally,Welfare,Government Services,,,,,,,0,National Government,,National Government,National Government,Monitoring,Cautious,,,https://www.youtube.com/watch?v=jx8VBDgmPPQ,ACLED,Persons with disabilities and their supporters protested outside the Kazakh government's administration in Nur-Sultan (Astana) demanding disability pay raise and social aid.
14 June 2021,Nur-Sultan (Astana),1,0,51.1289606084897,71.4691722710904,10,0,Rally,Rally,Repression,Justice,Political Prisoners,Justice,Human Rights,Human Rights,Democratic Choice of Kazakhstan,Koshe (Street) Party,1,Zalmay Khalilzad,US Embassy in Nur-Sultan (Astana),Foreign Government/International Organization,Foreign Actor,Monitoring,Cautious,,,https://rus.azattyq.org/a/31308016.html,Online Search,A group of activists rallied in front of the U.S. Embassy in Nur-Sultan (Astana). They demanded that the U.S. and the international community defend those who are being prosecuted under Article 405 of the Kazakh Criminal Code for “participation in the activities of extremist organizations.”
14 June 2021,Shymkent,0,0,42.3188001717436,69.6034474842834,20,0,Rally,Rally,Corruption,Finance,,,,,,,0,Aset Satybaldiev - school principal,City Education Department,Individual,Local Non-Gov Actor,Meeting,Constructive,Promise,Constructive,https://rus.azattyq.org/a/31306561.html,Online Search,"About 20 parents and teachers of school #125 rallied in front of the Shymkent education department. The protesters were against the reappointment of the school principal, who was accused of bribery."
14 June 2021,Stepnogorsk,0,0,52.347078,71.880782,250,0,Rally,Rally,Development,Property & Land,Environment,Environment & Resource Extraction,Health,,,,0,Local Government,Eco-Lux AS LLP,Local Government,Local Government,Nothing,Neutral,,,https://www.ktk.kz/ru/news/video/2021/06/14/182820/,Online Search,"Residents of Stepnogorsk protested against the construction of a new industrial waste disposal plant, arguing that it is detrimental to the environment and the residents' health."
13 June 2021,Aktobe,0,0,50.289277,57.167366,16,0,Rally,Rally,Justice,Justice,,,,,,,0,Court of Aktobe,,Judicial System,Justice System,Monitoring,Cautious,,,https://www.youtube.com/watch?v=eXj00yJppqA,ACLED,"Relatives of Askhat Jumabayev, who was previously sentenced to a prison term for allegedly inflicting a fatal wound on a burglar at a private residence, protested outside the Aqtobe to demand a retrial."
11 June 2021,Shymkent,0,0,42.3285151014083,69.5666299689974,20,0,Rally,Rally,Income,Livelihood,,,,,,,0,"Administration of ""Avtonur""Market",,Business,Local Non-Gov Actor,Meeting,Constructive,Promise,Constructive,https://rus.azattyq.org/a/31302397.html,Online Search,"Dozens of traders of Avtonur market in Shymkent protested the rent increase for their retail spaces.After protesters attempted to block the road, the administration promised to find a solution to the matter."
10 June 2021,Petropavl,0,0,54.8630008402649,69.1419625271117,150,0,Rally,Rally,Labor,Livelihood,Income,Livelihood,,,,,0,Local Government,,Local Government,Local Government,Meeting,Constructive,Promise,Constructive,https://youtu.be/x0KY3eIZWbg,Online Search,"About 150 workers of Obuchovka gathered in front of the North Kazakhstan Region's local government, demanding not to shut down the local plant that produces titanium- zirconium. Protesters also requested not to sell the plant's shares to foreign companies."
10 June 2021,Nur-Sultan (Astana),1,0,51.122117,71.428248,65,0,Strike,Disruptive,Labor,Livelihood,Income,Livelihood,,,,,0,Arabtec/CCC (Contracting Company),,Foreign Business,Foreign Actor,Promise,Constructive,,,"https://www.ktk.kz/ru/news/video/2021/06/10/182551/
https://youtu.be/yDBDa14YY7I",Online Search,"Abu Dhabi Plaza builders in Nur-Sultan (Astana) refused to work, demanding salary payments that have now been delayed for two months."
9 June 2021,Karabulak,0,0,44.887114,78.501784,40,0,Rally,Rally,Land,Property & Land,Corruption,Finance,,,,,0,Local Government,Bazis-A Company,Local Government,Local Government,Nothing,Neutral,,,https://www.ktk.kz/ru/news/video/2021/06/09/182441/,Online Search,"Residents of Karabulak gathered to protest against a development project, which they say is too close to a cemetery."
8 June 2021,Nur-Sultan (Astana),1,0,51.134185,71.413158,1,0,Confrontation,Violent,Labor,Livelihood,Corruption,Finance,,,,,0,KazMunaiGas,,Foreign Business,Foreign Actor,Dispersal,Cautious,,,https://rus.azattyq.org/a/31296156.html,Online Search,A resident of Zhanaozen came to the office of KazMunaiGas company demanding to be reinstated in his job after allegedly being wrongfully dismissed.
